"id","sku","slug","name","category_id","category_name","category_slug","short_description","description","price","old_price","rating_avg","rating_count","stock_quantity","is_active","tags","primary_image_url","primary_image_filename","image_count","local_folder","local_image_files","created_at","updated_at"
"11","PTS-W11","musclepharm-combat-whey-5lbs","MusclePharm Combat 100% Whey 5lbs","1","Whey Protein","whey-protein","Hỗn hợp đạm hấp thu đa tầng giải phóng liên tục bảo vệ cơ bắp","Combat 100% Whey kết hợp whey concentrate, isolate và hydrolyzed giải phóng đạm liên tục 4-6 giờ. Bổ sung enzyme tiêu hóa hỗ trợ hấp thu tối đa.","1420000.00","1620000.00","4.50","680","50","1","","/uploads/products/image-11.jpg","1.jpg","1","011_musclepharm-combat-whey-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"12","PTS-W12","jym-pro-jym-protein-4lbs","JYM Supplement Science Pro-JYM 4lbs","1","Whey Protein","whey-protein","Tỷ lệ đạm vàng kết hợp giữa Whey, Casein và trứng","Pro-JYM do Dr. Jim Stoppani thiết kế với tỷ lệ vàng 4:1:1 giữa Whey Isolate, Micellar Casein và Egg White Protein. Cung cấp đạm đa tầng tối ưu suốt cả ngày.","1590000.00","1790000.00","4.60","320","50","1","","/uploads/products/image-12.jpg","1.jpg","1","012_jym-pro-jym-protein-4lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"13","PTS-W13","bsn-syntha-6-protein-5lbs","BSN Syntha-6 Protein 5lbs","1","Whey Protein","whey-protein","Bữa ăn giàu đạm thay thế tối ưu nuôi dưỡng cơ bắp ban đêm","Syntha-6 là matrix protein đa tầng với 6 loại đạm bổ sung nhau: Whey Concentrate, Isolate, Casein, Calcium Caseinate, Egg Albumin, và Glutamine Peptides.","1350000.00","1550000.00","4.50","890","50","1","","/uploads/products/image-13.jpg","1.jpg","1","013_bsn-syntha-6-protein-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"14","PTS-W14","myotein-premium-protein-4lbs","Xendurance Myotein Premium 4lbs","1","Whey Protein","whey-protein","Nguồn cung cấp chuỗi peptide sinh học hồi phục cơ chuyên sâu","Myotein kết hợp whey isolate và concentrate với phức hợp enzyme DigeZyme® giúp phân giải và hấp thụ protein nhanh hơn 30% so với whey thông thường.","1850000.00","2050000.00","4.40","210","50","1","","/uploads/products/image-14.jpg","1.jpg","1","014_myotein-premium-protein-4lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"15","PTS-W15","dymatize-elite-100-whey-5lbs","Dymatize Elite 100% Whey 5lbs","1","Whey Protein","whey-protein","Nguồn Whey 100% Concentrate kết hợp Isolate giá tiết kiệm","Elite 100% Whey mang đến 25g protein/serving với hương vị thơm ngon và giá thành tiết kiệm. Chứng nhận Informed-Choice đảm bảo không chất cấm.","1490000.00","1690000.00","4.50","750","50","1","","/uploads/products/image-15.jpg","1.jpg","1","015_dymatize-elite-100-whey-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"16","PTS-W16","whey-labs-100-isolate-5lbs","Whey Labs 100% Isolate 5lbs","1","Whey Protein","whey-protein","Dòng đạm tinh sạch cao cấp đạt chuẩn kiểm định an toàn từ Úc","Whey Labs 100% Isolate sử dụng nguồn sữa bò từ trang trại Úc không hormon tăng trưởng. Quy trình lọc lạnh CFM cho ra 26g protein/serving cực tinh khiết.","1250000.00","1450000.00","4.30","180","50","1","","/uploads/products/image-16.jpg","1.jpg","1","016_whey-labs-100-isolate-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"17","PTS-W17","allmax-allwhey-gold-5lbs","AllMax Nutrition AllWhey Gold 5lbs","1","Whey Protein","whey-protein","Sự kết hợp đạm cô lập kinh tế, không gây đầy hơi khó tiêu","AllWhey Gold pha trộn whey isolate và concentrate theo tỷ lệ tối ưu, bổ sung enzyme Aminogen® giúp tiêu hóa triệt để. Không gây đầy bụng, phù hợp mọi cơ địa.","1350000.00","1550000.00","4.40","390","50","1","","/uploads/products/image-17.jpg","1.jpg","1","017_allmax-allwhey-gold-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"18","PTS-W18","pvl-iso-gold-premium-5lbs","PVL ISO Gold Premium Isolate 5lbs","1","Whey Protein","whey-protein","Bổ sung lợi khuẩn Probiotics cải thiện khả năng đồng hóa chất đạm","ISO Gold của PVL kết hợp 25g whey isolate với 1 tỷ CFU probiotic L. acidophilus giúp cải thiện vi hệ đường ruột, tăng hấp thu protein và tăng cường hệ miễn dịch.","1690000.00","1890000.00","4.50","260","50","1","","/uploads/products/image-18.jpg","1.jpg","1","018_pvl-iso-gold-premium-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"19","PTS-W19","scitec-whey-professional-5lbs","Scitec Nutrition 100% Whey Professional 5lbs","1","Whey Protein","whey-protein","Bổ sung enzyme tiêu hóa chuyên biệt, hấp thụ hoàn toàn đạm","Sản phẩm whey protein nổi tiếng từ Châu Âu với formula chứa cả Whey Concentrate và Isolate, bổ sung AmbroZyme enzyme digest. Hơn 60 hương vị đa dạng.","1490000.00","1690000.00","4.50","620","50","1","","/uploads/products/image-19.jpg","1.jpg","1","019_scitec-whey-professional-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"20","PTS-W20","biotechusa-iso-whey-zero-5lbs","BiotechUSA Iso Whey Zero 5lbs","1","Whey Protein","whey-protein","Dòng sản phẩm whey cô lập hoàn toàn không Lactose","Iso Whey Zero của BiotechUSA là lựa chọn hoàn hảo cho người không dung nạp Lactose. 100% Whey Isolate không lactose, không gluten, 23g protein tinh khiết mỗi serving.","1950000.00","2150000.00","4.60","480","50","1","","/uploads/products/image-20.jpg","1.jpg","1","020_biotechusa-iso-whey-zero-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"21","PTS-W21","amix-gold-isolate-5lbs","Amix Gold Isolate Whey Protein 5lbs","1","Whey Protein","whey-protein","100% Whey Isolate dây chuyền lọc lạnh vi mô tinh sạch Châu Âu","Amix Gold Isolate sản xuất tại CH Séc trên dây chuyền CFM lọc lạnh thế hệ mới nhất, đạt 27g protein/serving và được kiểm định Informed Sport toàn cầu.","2200000.00","2500000.00","4.70","190","50","1","","/uploads/products/image-21.jpg","1.jpg","1","021_amix-gold-isolate-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"22","PTS-M01","labrada-lean-body-meal-4-6lbs","Labrada Lean Body Meal Replacement 4.6lbs","2","Pre-Workout","pre-workout","Bữa ăn thay thế hoàn chỉnh tỷ lệ vàng 40g đạm, tinh bột phức hợp","Lean Body cung cấp 40g protein, 27 vitamin & khoáng chất, chất xơ và tinh bột phức hợp hấp thụ chậm. Thay thế hoàn hảo cho bữa ăn khi bận rộn.","1650000.00","1850000.00","4.60","340","50","1","","/uploads/products/image-22.jpg","1.jpg","1","022_labrada-lean-body-meal-4-6lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"23","PTS-M02","cellucor-c4-original-preworkout-30serv","Cellucor C4 Original Pre-Workout 30 servings","2","Pre-Workout","pre-workout","Bổ sung năng lượng bùng nổ tỉnh táo tuyệt đối trước tập","C4 Original là pre-workout bán chạy nhất thế giới với công thức Beta-Alanine + Creatine Nitrate + Caffeine 150mg cho năng lượng tức thì và pump cơ mạnh mẽ.","650000.00","750000.00","4.50","2800","50","1","","/uploads/products/image-23.jpg","1.jpg","1","023_cellucor-c4-original-preworkout-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"24","PTS-M03","nutrex-outlift-clinical-20serv","Nutrex Outlift Clinical Pre-Workout 20 servings","2","Pre-Workout","pre-workout","Công thức kích sức mạnh liều lượng lâm sàng cực đại","Outlift là pre-workout liều lâm sàng với Citrulline 8g, Beta-Alanine 3.2g, Creatine 3g và Caffeine 350mg. Không ma trận ẩn – toàn bộ thành phần công bố minh bạch.","850000.00","990000.00","4.60","420","50","1","","/uploads/products/image-24.jpg","1.jpg","1","024_nutrex-outlift-clinical-20serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"25","PTS-M04","jnx-sports-the-curse-50serv","JNX Sports The Curse Pre-Workout 50 servings","2","Pre-Workout","pre-workout","Kích hoạt tập trung cao độ, đánh tan mệt mỏi thể hình","The Curse cung cấp Caffeine 200mg, Citrulline Malate 3g và Beta-Alanine 1.5g với 50 servings tiết kiệm. Hương vị trái cây sảng khoái không bị đắng.","690000.00","790000.00","4.40","610","50","1","","/uploads/products/image-25.jpg","1.jpg","1","025_jnx-sports-the-curse-50serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"26","PTS-M05","insane-labz-psychotic-pre-35serv","Psychotic High Stimulant Pre-Workout 35 serv","2","Pre-Workout","pre-workout","Thức uống năng lượng siêu mạnh mẽ cho người tập tạ nặng lâu năm","Psychotic chứa DMAE Bitartrate và Caffeine Anhydrous liều cao tạo focus cực mạnh. Chỉ nên dùng cho người có kinh nghiệm tập luyện và khả năng chịu kích thích tốt.","680000.00","780000.00","4.30","550","50","1","","/uploads/products/image-26.jpg","1.jpg","1","026_insane-labz-psychotic-pre-35serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"27","PTS-M06","redcon1-total-war-30serv","Redcon1 Total War Pre-Workout 30 servings","2","Pre-Workout","pre-workout","Kết hợp hoàn hảo giữa năng lượng tỉnh táo và pump phồng sợi cơ","Total War là pre-workout 2-trong-1: năng lượng mạnh từ Caffeine 250mg + DMHA và pump cực độ từ Citrulline Malate 6g + AgmaMax 1g. Ưa thích của giới bodybuilding.","790000.00","890000.00","4.50","730","50","1","","/uploads/products/image-27.jpg","1.jpg","1","027_redcon1-total-war-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"28","PTS-M07","applied-nutrition-abe-pre-30serv","Applied Nutrition ABE Pre-Workout 30 serv","2","Pre-Workout","pre-workout","Sản phẩm kích năng lượng tập luyện bán chạy nhất vương quốc Anh","ABE (All Black Everything) chứa Caffeine 200mg, 3.2g Beta-Alanine và 150mg KSM-66 Ashwagandha. Đây là pre-workout số 1 tại UK với hơn 20 hương vị độc đáo.","720000.00","820000.00","4.50","890","50","1","","/uploads/products/image-28.jpg","1.jpg","1","028_applied-nutrition-abe-pre-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"29","PTS-M08","ghost-legend-preworkout-30serv","Ghost Legend Pre-Workout 30 servings","2","Pre-Workout","pre-workout","Gia tăng hiệu suất cơ bắp bền bỉ, thành phần minh bạch 100%","Ghost Legend tự hào với công thức Transparent Label hoàn toàn, không prop blend. Citrulline 4g, Beta-Alanine 3.2g, Alpha-GPC 150mg và Caffeine 200mg.","950000.00","1100000.00","4.70","1100","50","1","","/uploads/products/image-29.jpg","1.jpg","1","029_ghost-legend-preworkout-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"30","PTS-M09","muscletech-vapor-x5-nextgen-30serv","Vapor X5 Next Gen Muscletech 30 servings","2","Pre-Workout","pre-workout","Công thức khoa học 5 trong 1 thúc đẩy năng lượng tập trung tối đa","Vapor X5 là hệ thống pre-workout 5-trong-1: Sensory Complex, Muscle Amplifier, Performance Booster, Pump Activator và Energy Accelerator trong một scoop.","650000.00","750000.00","4.40","480","50","1","","/uploads/products/image-30.jpg","1.jpg","1","030_muscletech-vapor-x5-nextgen-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"31","PTS-M10","prosupps-mr-hyde-nitrox-30serv","Mr. Hyde NitroX Pre-Workout 30 servings","2","Pre-Workout","pre-workout","Năng lượng bùng nổ mãnh liệt phối hợp bơm phồng cơ sợi bắp","Mr. Hyde NitroX cung cấp Caffeine Matrix 400mg 3 lớp (Anhydrous + Di-Caffeine Malate + Caffeine Citrate) cho năng lượng bền bỉ 3-4 giờ không bị crash.","690000.00","790000.00","4.40","390","50","1","","/uploads/products/image-31.jpg","1.jpg","1","031_prosupps-mr-hyde-nitrox-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"32","PTS-M11","jym-pre-jym-high-performance-30serv","Pre-JYM High Performance 30 servings","2","Pre-Workout","pre-workout","Công thức thiết kế hoàn hảo minh bạch bởi Dr. Jim Stoppani","Pre-JYM là pre-workout đầu tiên đưa ra nguyên tắc full-disclosure label với 13 thành phần ở liều lâm sàng. Không prop blend, không chất độn. Khoa học và hiệu quả.","1100000.00","1250000.00","4.70","580","50","1","","/uploads/products/image-32.jpg","1.jpg","1","032_jym-pre-jym-high-performance-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"33","PTS-M12","5-nutrition-kill-it-30serv","Kill It Pre-Workout Rich Piana 30 servings","2","Pre-Workout","pre-workout","Thúc đẩy sức bền thể lực tối ưu theo phong cách chiến binh","Kill It là triết lý ""chỉ cho 5% những ai thực sự chiến"" – pre-workout với Citrulline Malate, Beta-Alanine, Agmatine và Caffeine thiết kế cho buổi tập khắc nghiệt nhất.","820000.00","950000.00","4.40","430","50","1","","/uploads/products/image-33.jpg","1.jpg","1","033_5-nutrition-kill-it-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"34","PTS-M13","gaspari-superpump-max-30serv","SuperPump Max Gaspari 30 servings","2","Pre-Workout","pre-workout","Cung cấp năng lượng điện giải dồi dào, chống khô mỏi mệt cơ","SuperPump Max từ Gaspari Nutrition chứa L-Citrulline Silicate và hệ điện giải Sustamine® giúp duy trì hiệu suất và chống mệt mỏi suốt buổi tập.","780000.00","890000.00","4.30","320","50","1","","/uploads/products/image-34.jpg","1.jpg","1","034_gaspari-superpump-max-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"35","PTS-M14","blackstone-labs-dust-x-25serv","Dust X Extreme Stimulant 25 servings","2","Pre-Workout","pre-workout","Sản phẩm năng lượng cường độ cực mạnh chuyên sâu tập gym","Dust X là sản phẩm kích thích cực mạnh từ Blackstone Labs, chứa DMHA và Synephrine HCl tạo ra tăng kích động tuyệt đối. Chỉ dành cho người có kinh nghiệm.","890000.00","990000.00","4.30","260","50","1","","/uploads/products/image-35.jpg","1.jpg","1","035_blackstone-labs-dust-x-25serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"36","PTS-M15","huge-supplements-wrecked-20serv","Wrecked Pre-Workout Huge Supps 20 serv","2","Pre-Workout","pre-workout","Liều lượng kích thích khổng lồ giúp nâng cao thể lực đẩy tạ nặng","Wrecked sử dụng 17 thành phần ở liều lượng khổng lồ: Citrulline 8g, HydroPrime Glycerol 3g, Beta-Alanine 3.5g và Caffeine 250mg. Pre-workout không thỏa hiệp.","1150000.00","1300000.00","4.60","310","50","1","","/uploads/products/image-36.jpg","1.jpg","1","036_huge-supplements-wrecked-20serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"37","PTS-M16","gnc-beyond-raw-lit-30serv","Lit Pre-Workout Beyond Raw 30 servings","2","Pre-Workout","pre-workout","Cung cấp năng lượng sạch chuẩn hóa phòng thí nghiệm y tế GNC","LIT của GNC Beyond Raw sử dụng NeuroFactor™ (chiết xuất vỏ quả cà phê) và ElevATP® (chiết xuất cổ đại) tăng sản xuất ATP nội tế bào, cho năng lượng sạch không crash.","920000.00","1050000.00","4.50","490","50","1","","/uploads/products/image-37.jpg","1.jpg","1","037_gnc-beyond-raw-lit-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"38","PTS-M17","evl-engn-shred-30serv","ENGN Shred Pre-Workout EVL 30 servings","2","Pre-Workout","pre-workout","Công thức tác động kép tăng năng lượng đồng thời đốt mỡ sinh nhiệt","ENGN Shred là pre-workout kết hợp chất đốt mỡ sinh nhiệt CLA 500mg, L-Carnitine 500mg với năng lượng từ Caffeine 210mg. Giải pháp 2-in-1 cho giai đoạn siết.","750000.00","850000.00","4.40","420","50","1","","/uploads/products/image-38.jpg","1.jpg","1","038_evl-engn-shred-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"39","PTS-M18","gat-sport-nitraflex-30serv","Nitraflex Hyperemia GAT Sport 30 serv","2","Pre-Workout","pre-workout","Thúc đẩy oxit nitric giãn mạch máu tối đa vận chuyển dinh dưỡng","Nitraflex là pre-workout độc đáo với Clinical Strength Testosterone-Enhancing Compound (DOPA Mucuna 300mg) kết hợp Citrulline/Arginine 7g tăng NO mạnh.","760000.00","860000.00","4.40","380","50","1","","/uploads/products/image-39.jpg","1.jpg","1","039_gat-sport-nitraflex-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"40","PTS-M19","alani-nu-pre-workout-30serv","Alani Nu Pre-Workout 30 servings","2","Pre-Workout","pre-workout","Công thức năng lượng tinh tế êm dịu phù hợp thể hình cho cả nam nữ","Alani Nu Pre-Workout với 200mg Caffeine, L-Citrulline Malate 6g và Beta-Alanine 1.6g phù hợp cả nam lẫn nữ. Không chứa nhân tạo, hương vị trái cây tự nhiên thơm ngon.","880000.00","980000.00","4.60","1200","50","1","","/uploads/products/image-40.jpg","1.jpg","1","040_alani-nu-pre-workout-30serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"41","PTS-M20","ryse-godzilla-preworkout-40serv","Ryse Godzilla Pre-Workout 40 servings","2","Pre-Workout","pre-workout","Phiên bản Godzilla năng lượng khổng lồ phá vỡ mọi rào cản tập tạ","Godzilla Pre-Workout của Ryse là sản phẩm khổng lồ với full scoop chứa Citrulline 9g, Beta-Alanine 3.5g và Caffeine 400mg. 40 servings ở liều toàn phần cực kỳ kinh tế.","1350000.00","1550000.00","4.70","680","50","1","","/uploads/products/image-41.jpg","1.jpg","1","041_ryse-godzilla-preworkout-40serv","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
